1	00:00:02.333	00:00:02.333	
2	00:00:02.319	00:00:04.652	
3	00:00:02.089	00:00:06.741	
4	00:00:02.120	00:00:08.861	
5	00:00:02.071	00:00:10.932	
6	00:00:02.120	00:00:13.052	
7	00:00:02.032	00:00:15.084	
8	00:00:01.800	00:00:16.884	
9	00:00:01.856	00:00:18.740	
10	00:00:01.911	00:00:20.651	
11	00:00:01.897	00:00:22.548	
12	00:00:02.024	00:00:24.572	
13	00:00:01.976	00:00:26.548	
14	00:00:01.968	00:00:28.516	
15	00:00:01.984	00:00:30.500	
16	00:00:01.911	00:00:32.411	
17	00:00:02.008	00:00:34.419	
18	00:00:02.112	00:00:36.531	
19	00:00:02.025	00:00:38.556	
20	00:00:02.167	00:00:40.723	
21	00:00:02.112	00:00:42.835	
22	00:00:02.064	00:00:44.899	
23	00:00:02.048	00:00:46.947	
24	00:00:02.105	00:00:49.052	
25	00:00:02.135	00:00:51.187	
26	00:00:02.121	00:00:53.308	
27	00:00:01.823	00:00:55.131	
28	00:00:01.960	00:00:57.091	
29	00:00:01.920	00:00:59.011	
30	00:00:02.008	00:01:01.019	
31	00:00:02.167	00:01:03.186	
32	00:00:01.987	00:01:05.173	
33	00:00:01.934	00:01:07.107	
34	00:00:01.768	00:01:08.875	
35	00:00:02.160	00:01:11.035	
36	00:00:01.863	00:01:12.898	
37	00:00:02.089	00:01:14.987	
38	00:00:01.999	00:01:16.986	
39	00:00:02.097	00:01:19.083	
40	00:00:02.144	00:01:21.227	
41	00:00:02.063	00:01:23.290	
42	00:00:02.185	00:01:25.475	
43	00:00:02.111	00:01:27.586	
44	00:00:02.185	00:01:29.771	
45	00:00:02.087	00:01:31.858	
46	00:00:02.112	00:01:33.970	
47	00:00:02.152	00:01:36.122	
48	00:00:02.201	00:01:38.323	
49	00:00:01.975	00:01:40.298	
50	00:00:02.185	00:01:42.483	
51	00:00:02.055	00:01:44.538	
52	00:00:02.096	00:01:46.634	
53	00:00:02.480	00:01:49.114	
54	00:00:02.079	00:01:51.193	
55	00:00:02.249	00:01:53.442	
56	00:00:01.999	00:01:55.441	
57	00:00:02.065	00:01:57.506	
58	00:00:02.112	00:01:59.618	
