1	00:00:02.232	00:00:02.232	
2	00:00:02.000	00:00:04.232	
3	00:00:01.864	00:00:06.096	
4	00:00:01.856	00:00:07.952	
5	00:00:02.088	00:00:10.040	
6	00:00:02.048	00:00:12.088	
7	00:00:01.904	00:00:13.992	
8	00:00:02.024	00:00:16.016	
9	00:00:02.048	00:00:18.064	
10	00:00:02.000	00:00:20.064	
11	00:00:01.888	00:00:21.952	
12	00:00:01.960	00:00:23.912	
13	00:00:02.112	00:00:26.024	
14	00:00:01.992	00:00:28.016	
15	00:00:02.024	00:00:30.040	
16	00:00:01.912	00:00:31.952	
17	00:00:02.080	00:00:34.032	
18	00:00:01.912	00:00:35.944	
19	00:00:01.968	00:00:37.912	
20	00:00:02.104	00:00:40.016	
21	00:00:02.000	00:00:42.016	
22	00:00:01.960	00:00:43.976	
23	00:00:01.960	00:00:45.936	
24	00:00:02.136	00:00:48.072	
25	00:00:01.968	00:00:50.040	
26	00:00:01.952	00:00:51.992	
27	00:00:01.928	00:00:53.920	
28	00:00:01.984	00:00:55.904	
29	00:00:02.167	00:00:58.071	
30	00:00:02.033	00:01:00.104	
31	00:00:01.943	00:01:02.047	
32	00:00:02.033	00:01:04.080	
33	00:00:01.991	00:01:06.071	
34	00:00:01.929	00:01:08.000	
35	00:00:01.952	00:01:09.952	
36	00:00:01.984	00:01:11.936	
37	00:00:02.072	00:01:14.008	
38	00:00:02.096	00:01:16.104	
39	00:00:01.799	00:01:17.903	
40	00:00:01.881	00:01:19.784	
41	00:00:02.256	00:01:22.040	
42	00:00:02.048	00:01:24.088	
43	00:00:01.792	00:01:25.880	
44	00:00:02.154	00:01:28.034	
45	00:00:02.030	00:01:30.064	
46	00:00:01.832	00:01:31.896	
47	00:00:01.968	00:01:33.864	
48	00:00:02.096	00:01:35.960	
49	00:00:02.064	00:01:38.024	
50	00:00:02.026	00:01:40.050	
51	00:00:01.984	00:01:42.034	
52	00:00:01.958	00:01:43.992	
53	00:00:01.969	00:01:45.961	
54	00:00:01.950	00:01:47.911	
55	00:00:02.097	00:01:50.008	
56	00:00:01.984	00:01:51.992	
57	00:00:02.088	00:01:54.080	
58	00:00:02.017	00:01:56.097	
59	00:00:01.936	00:01:58.033	
60	00:00:02.023	00:02:00.056	
61	00:00:01.995	00:02:02.051	
